subject,sentence,context,sentence_length,maxF0,minF0,F1,F2,F3,keyword,last_word_len
subj25_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2914.955,179.7087083,92.84232457,690.6902214,1165.380067,2837.697518,magnolia,881.994
subj26_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3578.976,369.0421369,106.0899448,524.0987276,1946.45441,2752.988156,eyeliner,1060.437
subj26_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,2790.974,190.981479,104.2369803,486.7511263,1824.908549,2460.22871,eyeliner,907.067
subj26_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,3514.09,337.8765818,94.86516789,337.6421798,2039.00715,3460.845501,musical,979.23
subj26_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,2803.66,314.4692138,58.24833482,306.0446242,1921.942554,3441.093012,musical,1024.642
subj26_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2768.65,321.0047915,106.750441,1076.501966,2285.552089,3594.140698,wool,1287.675
subj26_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2251.808,323.7494846,104.8913594,774.768908,1972.35036,2606.523978,wool,1084.674
subj26_shorten_mono,Liam-Topmany-Genalumni-oknowNeg,not > most/many,2771.945,210.6976004,124.9681499,691.6209966,2104.014448,3474.699293,alumnus,634.312
subj26_shorten_mono,Liam-Topmany-Accalumni-AccknowNeg,most/many > not,2656.17,349.7466959,134.4520946,424.8063389,1786.677284,3075.254763,alumnus,664.43
subj26_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2530.906,194.7398245,104.9812464,537.0684973,1388.897358,2739.661102,magnolia,786.547
subj26_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2924.179,201.6361044,111.240659,451.4692307,1715.245484,2838.961435,magnolia,888.037
subj27_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,not > all,2572.006,142.4542331,105.9897697,1063.845256,1651.480425,2820.74358,magnolia,777.776
subj27_shorten_mono,all-Genmagnolias-Gen-flower-TopbloomNegwill,all > not,2489.932,155.0508405,104.1959755,620.5070931,1663.970502,2469.864017,magnolia,757.829
subj27_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2500.284,154.326328,113.3777551,935.1550236,2093.826356,3731.126716,alumnus,624.148
subj27_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2278.693,167.4275747,44.49896443,792.4570246,1981.286699,2929.951721,alumnus,668.466
subj27_shorten_mono,all-Genwoollining-Topwornbe-Negpast,all > not,2607.387,164.3168913,107.2865152,920.9360436,1988.770198,2860.24108,wool,1132.773
subj27_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2030.968,171.0748907,110.7873454,784.4405732,2243.157474,3644.604111,wool,1136.402
subj27_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,2769.887,310.0821564,111.1096768,335.8095045,2033.172551,2833.201632,musical,952.038
subj27_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2995.171,164.1454805,109.7863884,478.0573812,1292.820176,2554.256377,musical,943.726
subj27_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,3719.034,173.1752158,46.93386248,675.0678691,1639.314995,2655.712404,eyeliner,1036.87
subj27_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3035.771,300.5270607,96.99403478,733.7733553,1437.185886,2478.403704,eyeliner,1007.637
subj28_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,all > not,3360.796,345.1972237,96.35893552,895.457487,1783.533449,3348.189178,eyeliner,1085.607
subj28_shorten_mono,all-Genmother-Topeyeliner-AccallowNegpast,not > all,2892.914,340.2796986,186.5565581,729.0600775,1724.079019,2034.618719,eyeliner,1033.039
subj28_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,not > most/many,2879.917,304.1420875,91.93416496,431.1964888,2473.219066,3262.237775,musical,1016.441
subj28_shorten_mono,Neil-Topmost-Genmusical-AccenjoyNeg,most/many > not,2583.619,292.9444113,183.9707971,451.3899536,2287.62427,3460.263705,musical,904.498
subj28_shorten_mono,all-Genwoollining-Topwornbe-Negpast,not > all,2236.271,334.4035195,174.4990534,458.1224891,1556.427125,3171.585945,wool,1238.855
subj28_shorten_mono,all-Genwoollinig-Topwornbe-Negpast,all > not,2076.483,334.8467172,64.9519396,762.2847524,1377.838495,2749.143394,wool,1178.977
subj28_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,not > most/many,2434.443,297.4748896,194.9779258,1545.855735,1986.223353,3170.681529,alumnus,677.159
subj28_shorten_mono,Liam-Topmany-Genalumni-AccknowNeg,most/many > not,2299.591,310.9058459,188.0575753,1290.02608,2128.437952,3344.553183,alumnus,650.366
